date,states,cases,number
2020-03-07,tennessee,deaths,0
2020-03-07,texas,confirmed,19
2020-03-07,texas,deaths,0
2020-03-07,utah,confirmed,3
2020-03-07,utah,deaths,0
2020-03-07,vermont,confirmed,1
2020-03-07,vermont,deaths,0
2020-03-07,virginia,confirmed,1
2020-03-07,virginia,deaths,0
2020-03-07,washington,confirmed,110
2020-03-07,washington,deaths,16
2020-03-07,wisconsin,confirmed,1
2020-03-07,wisconsin,deaths,0
2020-03-08,arizona,confirmed,5
2020-03-08,arizona,deaths,0
2020-03-08,california,confirmed,112
2020-03-08,california,deaths,1
2020-03-08,colorado,confirmed,8
2020-03-08,colorado,deaths,0
2020-03-08,connecticut,confirmed,1
2020-03-08,connecticut,deaths,0
2020-03-08,district of columbia,confirmed,1
2020-03-08,district of columbia,deaths,0
2020-03-08,florida,confirmed,13
2020-03-08,florida,deaths,2
2020-03-08,georgia,confirmed,11
2020-03-08,georgia,deaths,0
2020-03-08,hawaii,confirmed,2
2020-03-08,hawaii,deaths,0
2020-03-08,illinois,confirmed,7
2020-03-08,illinois,deaths,0
2020-03-08,indiana,confirmed,2
2020-03-08,indiana,deaths,0
2020-03-08,iowa,confirmed,3
2020-03-08,iowa,deaths,0
2020-03-08,kansas,confirmed,1
2020-03-08,kansas,deaths,0
2020-03-08,kentucky,confirmed,4
2020-03-08,kentucky,deaths,0
2020-03-08,maryland,confirmed,5
2020-03-08,maryland,deaths,0
